,longitude,latitude,usage
W 21 St & 6 Ave,-73.99415556,40.74173969,280003
Broadway & W 58 St,-73.98169333,40.76695317,227898
West St & Chambers St,-74.01322069,40.71754834,222002
University Pl & E 14 St,-73.992085,40.734814,216873
11 Ave & W 41 St,-73.99884222,40.76030096,214134
Broadway & W 25 St,-73.98918628692627,40.74286877312112,205566
W 31 St & 7 Ave,-73.9916,40.749156,205217
6 Ave & W 33 St,-73.98848395,40.74901271,198752
E 17 St & Broadway,-73.99009296,40.73704984,198150
Ave A & E 14 St,-73.98047178983688,40.73031071000895,192103
E 33 St & 1 Ave,-73.97449783980846,40.74322681432173,187922
W 41 St & 8 Ave,-73.9900262,40.75640548,187385
Broadway & E 14 St,-73.99074142,40.73454567,183004
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,178777
8 Ave & W 16 St,-74.001702,40.740983,176993
7 Ave & Central Park South,-73.9790689945221,40.7667405590595,175997
12 Ave & W 40 St,-74.00277668,40.76087502,174223
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,172528
West St & Liberty St,-74.014847,40.711444,172325
Broadway & E 21 St,-73.98958593606949,40.73988840858996,171787
8 Ave & W 33 St,-73.993934,40.751551,171684
W 22 St & 10 Ave,-74.00451887,40.74691959,170643
W 30 St & 10 Ave,-74.002353,40.752694,170154
W 20 St & 10 Ave,-74.005141,40.745686,169464
6 Ave & W 34 St,-73.98805,40.74964,165652
Central Park S & 6 Ave,-73.97634151,40.76590936,164144
10 Ave & W 14 St,-74.00831580162048,40.74198159994023,162023
Clinton St & Grand St,-73.9870295,40.71559509,161838
8 Ave & W 49 St,-73.98655101656914,40.76171227910671,155535
Canal St & Rutgers St,-73.98990025,40.71427487,154772
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,154709
9 Ave & W 22 St,-74.00197139,40.7454973,154667
Norfolk St & Broome St,-73.98802084,40.7172274,154650
Cooper Square & Astor Pl,-73.99075269699097,40.72951496224949,152742
Grand St & Elizabeth St,-73.99596,40.718822,152605
4 Ave & E 12 St,-73.99011,40.732647,150787
W 43 St & 10 Ave,-73.99461843,40.76009437,150652
W 27 St & 7 Ave,-73.993915,40.746647,150354
Christopher St & Greenwich St,-74.00711384,40.73291553,149995
2 Ave & E 29 St,-73.97809267044067,40.74172351097472,149633
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766,149136
West End Ave & W 60 St,-73.99005,40.77237,147387
W 34 St & Hudson Blvd E,-74.00059908628464,40.75516719072139,146962
E 41 St & Madison Ave (SE corner),-73.979635,40.752049,146898
W 24 St & 7 Ave,-73.99529885,40.74487634,146699
Broadway & W 61 St,-73.9819684624672,40.77003010255044,145308
10 Ave & W 28 St,-74.00176802,40.75066386,144300
Lafayette St & Jersey St,-73.99565293,40.72456089,144022
Pier 40 - Hudson River Park,-74.01129573583603,40.7277140777778,143393
W 13 St & 5 Ave,-73.99431,40.735445,142812
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,141820
North Moore St & Greenwich St,-74.0103006362915,40.72019521437465,141647
E 1 St & 1 Ave,-73.98864984512329,40.72335597960796,141260
Great Jones St,-73.99379025,40.72743423,140174
11 Ave & W 27 St,-74.005226,40.751396,140062
Vesey Pl & River Terrace,-74.01658354,40.7153379,139815
E 16 St & 5 Ave,-73.99238967,40.73726186,139105
Vesey St & Church St,-74.01047229766846,40.71221958009051,138630
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,138312
W 42 St & 6 Ave,-73.98455,40.75492,138183
Forsyth St & Grand St,-73.99316132068634,40.71779817737835,136982
8 Ave & W 38 St,-73.99177,40.75461,135913
E 44 St & Lexington Ave,-73.974996,40.752643,134487
Suffolk St & Stanton St,-73.98517977,40.72066442,133835
9 Ave & W 18 St,-74.00366443,40.74317449,133734
W 54 St & 11 Ave,-73.992573,40.768333,133715
Broadway & W 41 St,-73.98658032,40.75513557,133298
Carmine St & 6 Ave,-74.00214988,40.73038599,130989
Washington St & Gansevoort St,-74.008119,40.739323,130861
W 16 St & The High Line,-74.00681753,40.74334935,130040
Allen St & Stanton St,-73.989111,40.722055,129797
E 40 St & Park Ave,-73.978326,40.750756,129554
E 13 St & 2 Ave,-73.9853024482727,40.73153937464073,129545
E 32 St & Park Ave,-73.98194829,40.7457121,129037
W 20 St & 7 Ave,-73.99726235,40.74238787,127719
W 13 St & 7 Ave,-73.99994661,40.73781509,126951
W 18 St & 6 Ave,-73.99456405,40.73971301,126656
Lexington Ave & E 24 St,-73.98409214,40.74025878,126508
Centre St & Chambers St,-74.0046073,40.71273266,126451
9 Ave & W 45 St,-73.9912551,40.76019252,125620
1 Ave & E 16 St,-73.98165557,40.73221853,124630
E 47 St & Park Ave,-73.97498696,40.75510267,123823
1 Ave & E 6 St,-73.98616880178452,40.72633085971696,121953
E 20 St & FDR Dr,-73.9756813647,40.733208626522426,121530
Bleecker St & Crosby St,-73.99510189890862,40.72615604980408,121523
W 45 St & 8 Ave,-73.98859651,40.75929124,120975
Mercer St & Bleecker St,-73.99662137031554,40.72706363348306,120173
W 22 St & 8 Ave,-73.99915362,40.74475148,119933
W 37 St & 10 Ave,-73.9979009,40.75660359,119848
6 Ave & W 45 St,-73.982631,40.756951,119729
Allen St & Rivington St,-73.98997825,40.72019576,119237
FDR Drive & E 35 St,-73.97121214,40.744219,118841
1 Ave & E 39 St,-73.97113,40.74714,118831
Riverside Blvd & W 67 St,-73.98888587951659,40.777507027547976,117183
Broadway & W 29 St,-73.98855723,40.7462009,116807
E 10 St & 2 Ave,-73.9865979552269,40.72970805644994,116541
St Marks Pl & 2 Ave,-73.98713956,40.7284186,116501
E 23 St & 1 Ave,-73.97809472,40.736502,116455
W 44 St & 11 Ave,-73.996975,40.762009,116385
Broadway & E 19 St,-73.98987293243407,40.73866091428551,116200
E 39 St & Lexington Ave,-73.97729203113158,40.7494985460252,116053
Washington Square E,-73.9957214,40.73049393,115822
Broadway & W 48 St,-73.98486793041229,40.76017739537783,115809
E 25 St & 2 Ave,-73.97973776,40.73912601,115341
Greenwich St & W Houston St,-74.008591,40.728846,114927
E 14 St & 1 Ave,-73.98286700248718,40.73139303364151,114055
Mott St & Prince St,-73.99480012,40.72317958,113177
E 11 St & 1 Ave,-73.98426726,40.72953837,113155
