,longitude,latitude,usage
Pershing Square North,-73.977706,40.751873,200596
Lafayette St & E 8 St,-73.9907647,40.73028666,192231
8 Ave & W 31 St,-73.99444207549095,40.75096734871598,184082
E 17 St & Broadway,-73.99009296,40.73704984,176411
W 21 St & 6 Ave,-73.99415556,40.74173969,175016
West St & Chambers St,-74.01322069,40.71754834,160825
Broadway & E 14 St,-73.99074142,40.73454567,147974
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,140095
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,137405
Broadway & E 22 St,-73.98955109,40.7403432,134974
W 41 St & 8 Ave,-73.9900262,40.75640548,134558
Carmine St & 6 Ave,-74.00214988,40.73038599,132004
Vesey Pl & River Terrace,-74.01658354,40.7153379,130956
W 20 St & 11 Ave,-74.007756,40.746745,128374
8 Ave & W 33 St,-73.993934,40.751551,128330
Broadway & W 60 St,-73.98191841,40.76915505,125936
Christopher St & Greenwich St,-74.00711384,40.73291553,122844
Broadway & W 24 St,-73.98915076,40.7423543,122766
Lafayette St & Jersey St,-73.99565293,40.72456089,122722
University Pl & E 14 St,-73.99200509,40.73492695,121259
Lexington Ave & E 24 St,-73.98409214,40.74025878,119091
Barrow St & Hudson St,-74.00674436,40.73172428,117828
W 31 St & 7 Ave,-73.9916,40.749156,114384
Central Park S & 6 Ave,-73.97634151,40.76590936,113489
Centre St & Chambers St,-74.0046073,40.71273266,113169
12 Ave & W 40 St,-74.00277668,40.76087502,107423
W 18 St & 6 Ave,-73.99456405,40.73971301,107423
W 42 St & 8 Ave,-73.99098507,40.7575699,106882
W 24 St & 7 Ave,-73.99529885,40.74487634,106268
W 38 St & 8 Ave,-73.99138152,40.75466591,106081
Barclay St & Church St,-74.01020234,40.71291224,105946
1 Ave & E 15 St,-73.98165557,40.73221853,104407
W 33 St & 7 Ave,-73.99093085,40.75019995,103124
W 22 St & 10 Ave,-74.00451887,40.74691959,102705
E 7 St & Avenue A,-73.98379855,40.72621788,100529
South End Ave & Liberty St,-74.015756,40.711512,98943
Washington St & Gansevoort St,-74.008119,40.739323,97634
E 32 St & Park Ave,-73.98194829,40.7457121,97406
W 27 St & 7 Ave,-73.993915,40.746647,96769
9 Ave & W 22 St,-74.00197139,40.7454973,96665
E 39 St & 2 Ave,-73.9734419,40.74780373,95773
6 Ave & W 33 St,-73.98848395,40.74901271,95366
Mercer St & Bleecker St,-73.99695094,40.72679454,94916
W 26 St & 8 Ave,-73.99723551,40.74734825,93671
Greenwich St & Warren St,-74.01121978,40.71542197,93608
E 10 St & Avenue A,-73.98142006,40.72740794,93543
W 4 St & 7 Ave S,-74.00293877,40.73401143,93209
W 17 St & 8 Ave,-74.00149746,40.74177603,93199
E 16 St & 5 Ave,-73.99238967,40.73726186,92340
E 14 St & Avenue B,-73.97772429,40.72938685,91564
Broadway & W 58 St,-73.98169333,40.76695317,91343
11 Ave & W 27 St,-74.005226,40.751396,91104
9 Ave & W 16 St,-74.00443172,40.74206539,90307
E 12 St & 3 Ave,-73.98889957,40.73223272,89810
Pershing Square South,-73.97791,40.751581,89570
MacDougal St & Prince St,-74.00297088,40.72710258,89351
W 39 St & 9 Ave,-73.99372222,40.75645824,88784
E 33 St & 2 Ave,-73.976056,40.744023,88738
W 22 St & 8 Ave,-73.99915362,40.74475148,87622
W Broadway & Spring St,-74.00154702,40.72490985,87226
E 20 St & 2 Ave,-73.98205027,40.73587678,86702
E 25 St & 2 Ave,-73.97973776,40.73912601,86129
St Marks Pl & 2 Ave,-73.98713956,40.7284186,85904
E 47 St & Park Ave,-73.97498696,40.75510267,85501
E 11 St & 2 Ave,-73.98672378,40.73047309,85454
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,85179
E 20 St & Park Ave,-73.98751968,40.73827428,84485
W 25 St & 6 Ave,-73.99144871,40.74395411,83982
E 30 St & Park Ave S,-73.98303529,40.74444921,83347
W 20 St & 7 Ave,-73.99726235,40.74238787,82875
E 23 St & 1 Ave,-73.97809472,40.736502,82607
E 15 St & 3 Ave,-73.986923,40.734232,82478
W 15 St & 7 Ave,-73.99931783,40.73935542,82282
E 43 St & Vanderbilt Ave,-73.9779874,40.75320159,82172
W 13 St & 6 Ave,-73.99704374,40.73649403,81919
Broadway & W 29 St,-73.98855723,40.7462009,81472
9 Ave & W 45 St,-73.9912551,40.76019252,81259
5 Ave & E 29 St,-73.98683077,40.7451677,81233
10 Ave & W 28 St,-74.00176802,40.75066386,79237
E 24 St & Park Ave S,-73.98602213,40.74096374,79155
Mott St & Prince St,-73.99480012,40.72317958,78332
Allen St & Rivington St,-73.98997825,40.72019576,78110
1 Ave & E 30 St,-73.97536082,40.74144387,77926
Broadway & W 32 St,-73.98808416,40.74854862,77457
W 43 St & 10 Ave,-73.99461843,40.76009437,76767
