,longitude,latitude,usage
W 21 St & 6 Ave,-73.99415556,40.74173969,259001
West St & Chambers St,-74.01322069,40.71754834,247383
Broadway & W 58 St,-73.98169333,40.76695317,224353
6 Ave & W 33 St,-73.98848395,40.74901271,211177
Broadway & W 25 St,-73.98918628692627,40.74286877312112,196985
Broadway & E 14 St,-73.99074142,40.73454567,196932
University Pl & E 14 St,-73.992085,40.734814,196125
Broadway & E 21 St,-73.98958593606949,40.73988840858996,191045
W 31 St & 7 Ave,-73.9916,40.749156,188147
12 Ave & W 40 St,-74.00277668,40.76087502,182399
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,182279
E 33 St & 1 Ave,-73.97449783980846,40.74322681432173,181511
6 Ave & W 34 St,-73.98805,40.74964,176275
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,175283
West St & Liberty St,-74.014847,40.711444,175187
11 Ave & W 41 St,-73.99884222,40.76030096,174979
Central Park S & 6 Ave,-73.976342,40.765909,174003
8 Ave & W 33 St,-73.993934,40.751551,171290
E 40 St & Park Ave,-73.978326,40.750756,169311
9 Ave & W 22 St,-74.00197139,40.7454973,167573
W 22 St & 10 Ave,-74.00451887,40.74691959,166097
8 Ave & W 38 St,-73.99177,40.75461,158930
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,155603
8 Ave & W 16 St,-74.001702,40.740983,153076
W 41 St & 8 Ave,-73.9900262,40.75640548,150730
Broadway & W 29 St,-73.98855723,40.7462009,150433
7 Ave & Central Park South,-73.9790689945221,40.7667405590595,150026
10 Ave & W 14 St,-74.00831580162048,40.74198159994023,148610
W 30 St & 10 Ave,-74.002353,40.752694,146220
E 16 St & 5 Ave,-73.99238967,40.73726186,145544
Clinton St & Grand St,-73.9870295,40.71559509,144280
W 43 St & 10 Ave,-73.99461843,40.76009437,142767
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766,142289
Norfolk St & Broome St,-73.98802084,40.7172274,141539
W 20 St & 10 Ave,-74.005141,40.745686,141336
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,141216
9 Ave & W 45 St,-73.9912551,40.76019252,140645
Broadway & W 41 St,-73.98658032,40.75513557,138743
W 4 St & 7 Ave S,-74.00293877,40.73401143,138343
W 18 St & 6 Ave,-73.99456405,40.73971301,135607
W 54 St & 11 Ave,-73.992573,40.768333,135354
10 Ave & W 28 St,-74.00176802,40.75066386,135195
Grand St & Elizabeth St,-73.99596,40.718822,135090
W 42 St & 6 Ave,-73.98455,40.75492,134861
E 1 St & 1 Ave,-73.98864984512329,40.72335597960796,134287
1 Ave & E 16 St,-73.98165557,40.73221853,133628
Christopher St & Greenwich St,-74.00711384,40.73291553,133567
2 Ave & E 29 St,-73.97809267044067,40.74172351097472,133439
W 26 St & 8 Ave,-73.99723551,40.74734825,133174
Ave A & E 14 St,-73.98047178983688,40.73031071000895,132762
E 13 St & 2 Ave,-73.9853024482727,40.73153937464073,132465
W 27 St & 7 Ave,-73.993915,40.746647,132091
Lafayette St & Jersey St,-73.99565293,40.72456089,131396
Washington St & Gansevoort St,-74.008119,40.739323,131074
West End Ave & W 60 St,-73.99005,40.77237,130592
E 10 St & Avenue A,-73.98142006,40.72740794,130456
W 25 St & 6 Ave,-73.99144871,40.74395411,130003
Canal St & Rutgers St,-73.98990025,40.71427487,129473
