,longitude,latitude,usage
Pershing Square North,-73.977706,40.751873,312111
E 17 St & Broadway,-73.99009296,40.73704984,247247
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,241589
Broadway & E 22 St,-73.98955109,40.7403432,236284
Broadway & E 14 St,-73.99074142,40.73454567,227190
West St & Chambers St,-74.01322069,40.71754834,221639
W 21 St & 6 Ave,-73.99415556,40.74173969,220828
Christopher St & Greenwich St,-74.00711384,40.73291553,203236
Broadway & W 60 St,-73.98191841,40.76915505,203098
12 Ave & W 40 St,-74.00277668,40.76087502,203048
W 20 St & 11 Ave,-74.007756,40.746745,196745
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,191422
8 Ave & W 33 St,-73.993934,40.751551,189705
W 41 St & 8 Ave,-73.9900262,40.75640548,179906
Broadway & W 25 St,-73.98918628692627,40.74286877312112,178016
W 31 St & 7 Ave,-73.9916,40.749156,172657
W 38 St & 8 Ave,-73.99138152,40.75466591,172172
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,170370
South End Ave & Liberty St,-74.015756,40.711512,169686
E 24 St & Park Ave S,-73.98602213,40.74096374,169392
Broadway & W 41 St,-73.98658032,40.75513557,168072
E 47 St & Park Ave,-73.97498696,40.75510267,166888
Cooper Square & Astor Pl,-73.99075269699097,40.72951496224949,165900
E 13 St & Avenue A,-73.98067966103554,40.72966729392978,164357
1 Ave & E 16 St,-73.98165557,40.73221853,164173
Grand St & Elizabeth St,-73.99596,40.718822,163864
W 33 St & 7 Ave,-73.99093085,40.75019995,163435
W 18 St & 6 Ave,-73.99456405,40.73971301,160608
Great Jones St,-73.99379025,40.72743423,156524
Carmine St & 6 Ave,-74.00214988,40.73038599,154457
6 Ave & W 33 St,-73.98848395,40.74901271,151583
Central Park S & 6 Ave,-73.97634151,40.76590936,149562
North Moore St & Greenwich St,-74.0103006362915,40.72019521437465,148658
W 34 St & 11 Ave,-74.0021163,40.75594159,145334
W 24 St & 7 Ave,-73.99529885,40.74487634,145087
University Pl & E 14 St,-73.992085,40.734814,144575
Broadway & W 29 St,-73.98855723,40.7462009,143780
E 10 St & Avenue A,-73.98142006,40.72740794,143687
Vesey Pl & River Terrace,-74.01658354,40.7153379,143644
W 22 St & 10 Ave,-74.00451887,40.74691959,143225
Washington St & Gansevoort St,-74.008119,40.739323,141537
Broadway & W 49 St,-73.9845272898674,40.76068327096592,139150
11 Ave & W 27 St,-74.005226,40.751396,139055
Broadway & W 56 St,-73.98192338,40.7652654,138318
E 7 St & Avenue A,-73.98379855,40.72621788,138183
E 32 St & Park Ave,-73.98194829,40.7457121,136913
MacDougal St & Prince St,-74.00297088,40.72710258,136088
W 27 St & 7 Ave,-73.993915,40.746647,135592
E 16 St & 5 Ave,-73.99238967,40.73726186,135035
W 26 St & 8 Ave,-73.99723551,40.74734825,133954
St Marks Pl & 1 Ave,-73.98564945,40.72779126,133381
W 22 St & 8 Ave,-73.99915362,40.74475148,133347
Allen St & Stanton St,-73.989111,40.722055,131549
E 15 St & 3 Ave,-73.986923,40.734232,131502
Pier 40 - Hudson River Park,-74.01129573583603,40.7277140777778,129726
E 33 St & 1 Ave,-73.97449783980846,40.74322681432173,129433
E 48 St & 5 Ave,-73.97805914282799,40.75724567911726,129335
W 4 St & 7 Ave S,-74.00293877,40.73401143,129136
W 15 St & 7 Ave,-73.99931783,40.73935542,129021
E 25 St & 2 Ave,-73.97973776,40.73912601,128302
Gansevoort St & Hudson St,-74.00507032871246,40.73944820130404,127421
9 Ave & W 45 St,-73.9912551,40.76019252,127266
E 20 St & 2 Ave,-73.98205027,40.73587678,126730
Barrow St & Hudson St,-74.00674436,40.73172428,126684
Canal St & Rutgers St,-73.98990025,40.71427487,125681
W 25 St & 6 Ave,-73.99144871,40.74395411,125309
2 Ave & E 31 St,-73.97706058,40.74290902,124070
E 39 St & 2 Ave,-73.9734419,40.74780373,123223
Centre St & Chambers St,-74.0046073,40.71273266,123079
Pershing Square South,-73.97791,40.751581,122857
E 11 St & 1 Ave,-73.98426726,40.72953837,122700
E 23 St & 1 Ave,-73.97809472,40.736502,122010
Lexington Ave & E 26 St,-73.983293,40.741459,121192
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,121147
Greenwich St & W Houston St,-74.008591,40.728846,121059
W 52 St & 6 Ave,-73.97982001304626,40.76132983124814,121034
Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,120937
E 4 St & 2 Ave,-73.98978041,40.7262807,119743
FDR Drive & E 35 St,-73.97121214,40.744219,119101
5 Ave & E 29 St,-73.98683077,40.7451677,117811
W 20 St & 7 Ave,-73.99726235,40.74238787,117635
11 Ave & W 41 St,-73.99884222,40.76030096,117512
St Marks Pl & 2 Ave,-73.98713956,40.7284186,117452
W 13 St & 7 Ave,-73.99994661,40.73781509,117401
Lafayette St & Jersey St,-73.99565293,40.72456089,117312
E 11 St & 2 Ave,-73.98672378,40.73047309,114224
LaGuardia Pl & W 3 St,-73.99810231,40.72917025,113891
Mercer St & Bleecker St,-73.99662137031554,40.72706363348306,113289
E 31 St & 3 Ave,-73.97966069,40.74394314,113098
E 2 St & Avenue A,-73.98583620786667,40.72307749068673,112997
E 2 St & Avenue B,-73.98368779,40.72217444,112904
8 Ave & W 52 St,-73.9851615,40.76370739,112863
Forsyth St & Broome St,-73.99266288,40.71893904,111934
Clinton St & Grand St,-73.9870295,40.71559509,111795
E 20 St & Park Ave,-73.98751968,40.73827428,111753
W 16 St & The High Line,-74.00681753,40.74334935,111494
E 20 St & FDR Drive,-73.97573881,40.73314259,110483
Mott St & Prince St,-73.99480012,40.72317958,110431
E 6 St & Avenue B,-73.98185424,40.72453734,109296
11 Ave & W 59 St,-73.99046033620834,40.77149671054441,109101
6 Ave & Canal St,-74.00566443,40.72243797,109041
Little West St & 1 Pl,-74.01677685,40.70569254,108980
Allen St & Rivington St,-73.98997825,40.72019576,108155
W 49 St & 8 Ave,-73.98788205,40.76227205,108105
E 2 St & 2 Ave,-73.99069656,40.72502876,107696
W 26 St & 10 Ave,-74.002950346,40.749717753,106567
7 Ave & Central Park South,-73.9790689945221,40.7667405590595,105554
W 52 St & 5 Ave,-73.97648516,40.75992262,104840
W 45 St & 8 Ave,-73.98859651,40.75929124,104711
Sullivan St & Washington Sq,-73.99906065,40.73047747,104312
E 39 St & 3 Ave,-73.97604882,40.7489006,104276
E 33 St & 5 Ave,-73.98490707,40.74765947,104040
W 20 St & 8 Ave,-74.00004031,40.74345335,103143
Allen St & Hester St,-73.99190759,40.71605866,102006
South St & Gouverneur Ln,-74.00670227,40.70355377,101770
W 13 St & 5 Ave,-73.99431,40.735445,101228
W 42 St & 8 Ave,-73.99098507,40.7575699,100357
Mercer St & Spring St,-73.99949601,40.72362738,99925
W 43 St & 10 Ave,-73.99461843,40.76009437,99392
Forsyth St & Canal St,-73.99422366,40.7158155,99023
Broadway & Battery Pl,-74.01361706,40.70463334,98837
W 17 St & 8 Ave,-74.00149746,40.74177603,97725
Lispenard St & Broadway,-74.00247214,40.71939226,97705
W 11 St & 6 Ave,-73.99800419,40.73532427,97531
Stanton St & Chrystie St,-73.99147535,40.72229346,96879
Fulton St & Broadway,-74.009447,40.711066,96328
University Pl & E 8 St,-73.99490341544151,40.73143724085228,95836
9 Ave & W 22 St,-74.00197139,40.7454973,95105
Norfolk St & Broome St,-73.98802084,40.7172274,94974
Howard St & Centre St,-73.99973337,40.71910537,94277
Greenwich Ave & Charles St,-74.000271,40.735238,94265
Liberty St & Broadway,-74.01043382,40.70905623,93972
W 46 St & 11 Ave,-73.99667444,40.76341379,93869
W 63 St & Broadway,-73.98261428,40.77163851,93740
6 Ave & Broome St,-74.00473035871983,40.724308321602166,93679
E 11 St & Avenue B,-73.97950418293476,40.72746420692392,93362
Broadway & W 38 St,-73.98721619,40.75299641,91943
E 9 St & Avenue C,-73.97768752,40.72521311,91853
E 30 St & Park Ave S,-73.98303529,40.74444921,91507
W 52 St & 11 Ave,-73.99392888,40.76727216,91342
W 44 St & 5 Ave,-73.98014437,40.75500254,89882
W 15 St & 10 Ave,-74.00747358798981,40.74275382865903,89733
9 Ave & W 28 St,-73.99923384189606,40.74937024193277,89473
Lexington Ave & E 29 St,-73.98215353488922,40.74311555376486,87713
Washington Pl & Broadway,-73.99404649,40.72903917,87573
W 37 St & 10 Ave,-73.9979009,40.75660359,87486
E 53 St & 3 Ave,-73.96930575370789,40.75763227739443,87250
E 19 St & 3 Ave,-73.98473765,40.73624527,87109
